Scene | Clips | Blueprint Plan (s) | Calculator Estimate (s) | Speech (s) | Action Overhead (s) | Word Count | Variance
------|-------|--------------------|-------------------------|------------|---------------------|------------|---------
S01   |    13 |                 68 |                      90 |       77.1 |                12.4 |        137 |     +22s
S02   |     4 |                 30 |                      28 |       23.3 |                 4.6 |         43 |      -2s
S03   |     6 |                 29 |                      36 |       33.1 |                 3.4 |         56 |      +7s
S04   |     6 |                 29 |                      38 |       32.7 |                 7.7 |         61 |      +9s
S05   |     9 |                 64 |                      56 |       51.3 |                 5.4 |         94 |      -8s
S06   |     7 |                 41 |                      58 |       37.2 |                23.1 |         70 |     +17s
S07   |     4 |                 22 |                      25 |       23.6 |                 2.4 |         40 |      +3s
S08   |     6 |                 45 |                      42 |       38.8 |                 3.4 |         74 |      -3s
S09   |    22 |                144 |                     130 |      105.8 |                27.0 |        191 |     -14s
S10   |     2 |                 15 |                      16 |       15.3 |                 1.2 |         28 |      +1s
S11   |    34 |                214 |                     231 |      182.1 |                53.4 |        345 |     +17s
S12   |     3 |                 16 |                      21 |       20.0 |                 1.6 |         36 |      +5s
S13   |     9 |                 66 |                      57 |       44.1 |                13.9 |         79 |      -9s
S14   |     5 |                 24 |                      28 |       22.3 |                 7.1 |         38 |      +4s
S15   |     2 |                 17 |                      17 |       13.9 |                 3.0 |         27 |      +0s
S16   |    32 |                165 |                     202 |      147.4 |                59.6 |        260 |     +37s
S17   |     3 |                 21 |                      16 |       11.6 |                 4.2 |         20 |      -5s
S18   |     1 |                 10 |                       3 |        0.0 |                 3.0 |          0 |      -7s
------|-------|--------------------|-------------------------|------------|---------------------|------------|---------
TOTAL |   168 |               1020 |                    1094 |      879.6 |               236.4 |       1599 |     +74s
